timestamp	room	experiment	file_changed	score	baseline	delta	status	description
2026-03-10T16:01:27	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Simplify RSN detection by removing unnecessary re.IGNORECASE flag in the regex pattern.
2026-03-10T16:01:30	validator	2	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: remove ambiguous wording in AI detection phrases to improve precision
2026-03-10T16:01:32	validator	3	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: Remove redundant check for 'AI_Assist markers' which may falsely increase false positives.
2026-03-11T04:16:11	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove redundant re.IGNORECASE flag from RSN regex pattern as RSNs are case-insensitive by definition.
2026-03-11T04:16:14	validator	2	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Simplify RSN regex to avoid unnecessary re.IGNORECASE flag, potentially reducing false positives.
2026-03-11T04:16:16	validator	3	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	remove the re.IGNORECASE flag for RSN patterns for stricter matching
2026-03-11T04:16:18	validator	4	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove unnecessary re.IGNORECASE flag in RSN regex to simplify detection logic and reduce over-detection.
2026-03-11T04:16:19	validator	5	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from AI_BLACKLISTED_PHRASES regex patterns to improve precision
2026-03-11T04:16:21	validator	6	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN pattern matching to focus on specific case-sensitive format
2026-03-11T04:16:23	validator	7	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag when finding 'RSN' patterns to potentially reduce false positives
2026-03-11T04:16:25	validator	8	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: Simplify RSN and figure patterns by removing re.IGNORECASE for better precision.
2026-03-11T04:16:27	validator	9	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection by removing redundant re.IGNORECASE flag
2026-03-11T04:16:29	validator	10	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex to reduce false positives in case-sensitive RSN detection
2026-03-12T04:20:54	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove redundant re.IGNORECASE for RSN detection to improve precision.
2026-03-12T04:20:57	validator	2	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	remove re.IGNORECASE flag in RSN detection to reduce false positives
2026-03-12T04:21:40	validator	3	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex for potentially reducing false positives
2026-03-12T04:21:42	validator	4	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag for RSN detection to improve case-sensitive pattern matching
2026-03-12T04:21:44	validator	5	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex to reduce false positives in case-sensitive RSN detection.
2026-03-12T04:21:45	validator	6	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN pattern matching to improve precision
2026-03-12T04:21:47	validator	7	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	remove re.IGNORECASE flag in RSN detection to reduce false positives
2026-03-12T04:21:49	validator	8	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN detection regex to reduce false positives.
2026-03-12T04:21:51	validator	9	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN detection to improve case-sensitive precision.
2026-03-12T04:21:53	validator	10	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex to improve case-sensitive detection accuracy
2026-03-13T04:20:03	prompts	1	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify explanatory text in Regla de Oro del Verifier for clarity
2026-03-13T04:20:29	prompts	2	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify rule for reading parameters from firmware to reduce cognitive load and ensure clarity
2026-03-13T04:20:31	prompts	3	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	clarify the rule for immediate blocking when SSOT hash doesn't match
2026-03-13T04:20:33	prompts	4	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify rule in the identity and role section by removing redundant emphasis sentence
2026-03-13T04:20:34	prompts	5	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	Simplify and clarify the report header format
2026-03-13T04:20:36	prompts	6	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify the communication of the result's provenance in step 8
2026-03-13T04:20:37	prompts	7	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify redundant warning criteria in `PASO 7 — Verificación "Shadow Play" (Sensor Drift)` to make it more concise
2026-03-13T04:20:40	prompts	8	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	clarify failure reporting in PASO 4 — Coherencia Firmware ↔ Simulación
2026-03-13T04:20:41	prompts	9	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify redundant instructions for step 0 Hash SSOT to improve clarity
2026-03-13T04:20:44	prompts	10	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify rule about max stress levels to eliminate potential confusion
